Timestamp1,time (s),True East Velocity (m/s),True North Velocity (m/s),Up Velocity (m/s),X1 (m),Y1 (m),Z1 (m),Timestamp2,Latitude,Longitude,Altitude,X2 (m),Y2 (m),Z2 (m)
2024-05-28 14:13:01,1.0,0.0,0.0,0.0,-3.2,42.900000000000006,7.699999999999998,13.602901783333333,41.31488,-105.58182833333333,2224.5,2.4062999850629585,12.699577489291288,-1.800000000000182
2024-05-28 14:13:02,1.0,0.0,0.0,0.0,-3.2,42.900000000000006,7.699999999999998,13.619085250000001,41.31487833333333,-105.58183333333334,2224.6,2.5913999838149784,13.118244879178798,-1.900000000000091
2024-05-28 14:13:03,1.0,0.0,0.0,0.0,-3.2,42.900000000000006,7.699999999999998,13.635785216666667,41.31488,-105.581835,2224.6,2.4062999850629585,13.257800675411321,-1.900000000000091
2024-05-28 14:13:04,1.0,0.0,0.0,0.0,-3.2,42.900000000000006,7.699999999999998,13.652750216666668,41.31488,-105.58184,2224.8,2.4062999850629585,13.676468065298812,-2.100000000000364
2024-05-28 14:13:05,1.0,0.0,0.0,0.0,-3.2,42.900000000000006,7.699999999999998,13.669213183333333,41.314883333333334,-105.581845,2225.0,2.0360999882106254,14.095135455186286,-2.300000000000182
2024-05-28 14:13:06,1.0,-0.5,0.4,0.0,-3.7,43.300000000000004,7.699999999999998,13.686729333333334,41.314886666666666,-105.58185,2225.1,1.6658999905795722,14.513802845073759,-2.400000000000091
2024-05-28 14:13:07,1.0,-0.5,0.5,0.0,-4.2,43.800000000000004,7.699999999999998,13.702665966666666,41.31489333333333,-105.58185333333333,2225.2,0.925499995456245,14.79291443753878,-2.5
2024-05-28 14:13:08,1.0,-0.5,0.6,0.0,-4.7,44.400000000000006,7.699999999999998,13.719413050000002,41.31490333333333,-105.58186333333333,2225.4,0.1851000011240831,15.630249217313667,-2.700000000000273
2024-05-28 14:13:09,1.0,-0.4,0.4,0.0,-5.1000000000000005,44.800000000000004,7.699999999999998,13.736166933333333,41.31491166666667,-105.58186666666667,2225.5,1.1105999988854431,15.909360810968591,-2.800000000000182
2024-05-28 14:13:10,1.0,0.0,0.0,0.0,-5.1000000000000005,44.800000000000004,7.699999999999998,13.752651616666666,41.31491333333334,-105.58186833333333,2225.6,1.2956999983492135,16.048916607201086,-2.900000000000091
2024-05-28 14:13:11,1.0,0.0,0.0,0.0,-5.1000000000000005,44.800000000000004,7.699999999999998,13.769629033333333,41.314915,-105.58186666666667,2225.6,1.4807999978323148,15.909360810968591,-2.900000000000091
2024-05-28 14:13:12,1.0,-0.1,0.5,0.0,-5.2,45.300000000000004,7.699999999999998,13.786077033333333,41.31491833333333,-105.58186833333333,2225.7,1.850999996850298,16.048916607201086,-3.0
2024-05-28 14:13:13,1.0,-0.2,0.5,0.0,-5.4,45.800000000000004,7.699999999999998,13.803304333333333,41.31493,-105.58187,2225.9,3.1466999968102147,16.188472403433583,-3.200000000000273
2024-05-28 14:13:14,1.0,0.0,0.0,0.0,-5.4,45.800000000000004,7.699999999999998,13.81925955,41.31494,-105.58187,2226.0,4.25730000035025,16.188472403433583,-3.300000000000182
2024-05-28 14:13:15,1.0,0.0,0.0,0.0,-5.4,45.800000000000004,7.699999999999998,13.835721900000001,41.31495,-105.58187,2226.1,5.367900005596296,16.188472403433583,-3.400000000000091
2024-05-28 14:13:16,1.0,-0.1,0.5,0.0,-5.5,46.300000000000004,7.699999999999998,13.8529533,41.31496166666667,-105.58187,2226.3,6.6636000125314,16.188472403433583,-3.600000000000364
2024-05-28 14:13:17,1.0,-0.1,0.5,0.0,-5.6,46.800000000000004,7.699999999999998,13.869397366666668,41.31497,-105.58186666666667,2226.4,7.589100018378835,15.909360810968591,-3.700000000000273
2024-05-28 14:13:18,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,13.885869516666666,41.31498166666667,-105.581865,2226.6,8.884800030355455,15.769805013546161,-3.900000000000091
2024-05-28 14:13:19,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,13.902574033333334,41.31499,-105.58186166666667,2226.7,9.810300041164234,15.49069342108116,-4.0
2024-05-28 14:13:20,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,13.919534816666667,41.315,-105.581855,2226.9,10.920900055292229,14.932470234961215,-4.200000000000273
2024-05-28 14:13:21,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,13.936164499999999,41.31500666666667,-105.58184666666666,2226.9,11.661300065895276,14.234691251418807,-4.200000000000273
2024-05-28 14:13:22,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,13.952728516666667,41.315016666666665,-105.58184,2226.9,12.771900082513278,13.676468065298812,-4.200000000000273
2024-05-28 14:13:23,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,13.969953566666668,41.31502833333333,-105.581835,2227.1,14.067600105072847,13.257800675411321,-4.400000000000091
2024-05-28 14:13:24,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,13.986774733333334,41.31503,-105.58182833333333,2227.2,14.252700109326103,12.699577489291288,-4.5
2024-05-28 14:13:25,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.002954749999999,41.315038333333334,-105.58182833333333,2227.3,15.178200126977828,12.699577489291288,-4.600000000000364
2024-05-28 14:13:26,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.019918083333332,41.315041666666666,-105.58182666666667,2227.5,15.548400134656752,12.560021693058756,-4.800000000000182
2024-05-28 14:13:27,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.036553099999999,41.31504833333333,-105.58182666666667,2227.6,16.28880014988015,12.560021693058756,-4.900000000000091
2024-05-28 14:13:28,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.053335766666667,41.31505,-105.58182833333333,2227.6,16.473900153996865,12.699577489291288,-4.900000000000091
2024-05-28 14:13:29,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.069726366666666,41.31505,-105.58182833333333,2227.6,16.473900153996865,12.699577489291288,-4.900000000000091
2024-05-28 14:13:30,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.08603415,41.31504833333333,-105.58183166666667,2227.8,16.28880014988015,12.97868908294627,-5.100000000000364
2024-05-28 14:13:31,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.103415166666668,41.31504833333333,-105.581835,2227.9,16.28880014988015,13.257800675411321,-5.200000000000273
2024-05-28 14:13:32,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.120023816666667,41.31504666666667,-105.581835,2228.0,16.103700146489704,13.257800675411321,-5.300000000000182
2024-05-28 14:13:33,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.136624000000001,41.31505166666667,-105.58183666666666,2228.1,16.659000158835717,13.397356471643846,-5.400000000000091
2024-05-28 14:13:34,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.15347695,41.31505166666667,-105.58183666666666,2228.1,16.659000158835717,13.397356471643846,-5.400000000000091
2024-05-28 14:13:35,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.169778033333333,41.31505166666667,-105.58183833333334,2228.1,16.659000158835717,13.536912269066283,-5.400000000000091
2024-05-28 14:13:36,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.186159616666666,41.31505333333333,-105.58183833333334,2228.1,16.844100162634895,13.536912269066283,-5.400000000000091
2024-05-28 14:13:37,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.202766916666667,41.31505333333333,-105.58184,2228.1,16.844100162634895,13.676468065298812,-5.400000000000091
2024-05-28 14:13:38,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.219546816666668,41.31505333333333,-105.58184333333334,2228.1,16.844100162634895,13.955579658953772,-5.400000000000091
2024-05-28 14:13:39,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.235921,41.31506,-105.58184833333334,2228.2,17.584500180126515,14.374247048841244,-5.5
2024-05-28 14:13:40,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.252554966666667,41.31505666666666,-105.58185166666667,2228.3,17.214300170992693,14.653358641306271,-5.600000000000364
2024-05-28 14:13:41,1.0,0.0,0.0,0.0,-5.6,46.800000000000004,7.699999999999998,14.269745949999999,41.31505333333333,-105.58185333333333,2228.3,16.844100162634895,14.79291443753878,-5.600000000000364
2024-05-28 14:13:42,1.0,-0.1,0.6,0.0,-5.699999999999999,47.400000000000006,7.699999999999998,14.2861483,41.315061666666665,-105.58185666666667,2228.5,17.769600183661357,15.07202603119373,-5.800000000000182
2024-05-28 14:13:43,1.0,-0.1,0.6,0.0,-5.799999999999999,48.00000000000001,7.699999999999998,14.303084283333334,41.31506666666667,-105.58186,2228.6,18.324900197906945,15.351137624848661,-5.900000000000091
2024-05-28 14:13:44,1.0,-0.1,0.5,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.319178283333335,41.31507333333333,-105.58186166666667,2228.8,19.06530021632689,15.49069342108116,-6.100000000000364
2024-05-28 14:13:45,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.336348566666667,41.31508,-105.581865,2229.0,19.805700237506468,15.769805013546161,-6.300000000000182
2024-05-28 14:13:46,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.353314366666666,41.31509,-105.58186666666667,2229.1,20.916300268403383,15.909360810968591,-6.400000000000091
2024-05-28 14:13:47,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.369666033333335,41.31509,-105.58187,2229.2,20.916300268403383,16.188472403433583,-6.5
2024-05-28 14:13:48,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.386589333333335,41.31509,-105.58186833333333,2229.2,20.916300268403383,16.048916607201086,-6.5
2024-05-28 14:13:49,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.402786966666667,41.315083333333334,-105.58186666666667,2229.3,20.17590024749747,15.909360810968591,-6.600000000000364
2024-05-28 14:13:50,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.41968565,41.31508,-105.58186666666667,2229.3,19.805700237506468,15.909360810968591,-6.600000000000364
2024-05-28 14:13:51,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.4365168,41.315081666666664,-105.58186666666667,2229.3,19.9908002423166,15.909360810968591,-6.600000000000364
2024-05-28 14:13:52,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.4531563,41.31508,-105.58186666666667,2229.3,19.805700237506468,15.909360810968591,-6.600000000000364
2024-05-28 14:13:53,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.469965866666666,41.31507833333333,-105.58187,2229.3,19.620600232006684,16.188472403433583,-6.600000000000364
2024-05-28 14:13:54,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.486369233333333,41.31507833333333,-105.58187,2229.3,19.620600232006684,16.188472403433583,-6.600000000000364
2024-05-28 14:13:55,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.503145966666667,41.315081666666664,-105.58187166666667,2229.3,19.9908002423166,16.328028200856004,-6.600000000000364
2024-05-28 14:13:56,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.519707933333333,41.31507166666667,-105.58187166666667,2229.4,18.88020021195936,16.328028200856004,-6.700000000000273
2024-05-28 14:13:57,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.536418583333333,41.315061666666665,-105.58186333333333,2229.3,17.769600183661357,15.630249217313667,-6.600000000000364
2024-05-28 14:13:58,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.553062316666665,41.31504833333333,-105.58185666666667,2229.4,16.28880014988015,15.07202603119373,-6.700000000000273
2024-05-28 14:13:59,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.569430616666667,41.31504,-105.58185333333333,2229.4,15.363300130631922,14.79291443753878,-6.700000000000273
2024-05-28 14:14:00,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.585796766666666,41.315038333333334,-105.58185333333333,2229.4,15.178200126977828,14.79291443753878,-6.700000000000273
2024-05-28 14:14:01,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.602856483333333,41.31503166666667,-105.58185333333333,2229.5,14.437800112537612,14.79291443753878,-6.800000000000182
2024-05-28 14:14:02,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.6201247,41.315023333333336,-105.58185166666667,2229.5,13.512300095245807,14.653358641306271,-6.800000000000182
2024-05-28 14:14:03,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.635753683333332,41.315016666666665,-105.58185,2229.5,12.771900082513278,14.513802845073759,-6.800000000000182
2024-05-28 14:14:04,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.652427033333334,41.315005,-105.58185,2229.6,11.476200062953858,14.513802845073759,-6.900000000000091
2024-05-28 14:14:05,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.669291733333333,41.315005,-105.58185166666667,2229.6,11.476200062953858,14.653358641306271,-6.900000000000091
2024-05-28 14:14:06,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.686096749999999,41.31500166666667,-105.58185166666667,2229.6,11.106000057474223,14.653358641306271,-6.900000000000091
2024-05-28 14:14:07,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.702443899999999,41.315,-105.58185166666667,2229.6,10.920900055292229,14.653358641306271,-6.900000000000091
2024-05-28 14:14:08,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.71924195,41.31498833333333,-105.58184833333334,2229.6,9.625200039461415,14.374247048841244,-6.900000000000091
2024-05-28 14:14:09,1.0,0.0,0.0,0.0,-5.899999999999999,48.50000000000001,7.699999999999998,14.736083433333333,41.31498333333333,-105.581845,2229.6,9.069900032693376,14.095135455186286,-6.900000000000091
2024-05-28 14:14:10,1.0,0.4,-0.5,-0.0,-5.499999999999998,48.00000000000001,7.699999999999998,14.752717183333335,41.314973333333334,-105.58184166666666,2229.6,7.959300022115003,13.816023861531328,-6.900000000000091
2024-05-28 14:14:11,1.0,0.2,-0.4,-0.0,-5.299999999999998,47.60000000000001,7.699999999999998,14.769340233333333,41.31496833333333,-105.58184,2229.6,7.404000017244268,13.676468065298812,-6.900000000000091
2024-05-28 14:14:12,1.0,0.0,0.0,0.0,-5.299999999999998,47.60000000000001,7.699999999999998,14.785652616666665,41.31496,-105.58183833333334,2229.6,6.478500010428287,13.536912269066283,-6.900000000000091
